	Id	Location	Area	Region	Number_of_Rooms	House_Type	House_Price	isSold	Sold_Date	Distance_from_City_inMiles	Seller	PostalCode	Number_of_Bedrooms	Number_of_Bathrooms	Number_of_CarParkings	Area_of_Land_inMeters	Height_of_Building_inMeters	Year_Built	Lattitude	Longtitude
69	48	Location 2	Area 2	Region 2	2	townhouse	450000	Sold	07-05-2016	13.5	Seller 12	2	2	1	1.0	110	90.0	2015.0	-37.7216	144.871
70	1471	Location 23	Area 14	Region 4	3	other	990000	NotSold	06-08-2016	11.8	Seller 12	22	3	2	1.0	585	180.0	1950.0	-37.7689	145.099
71	7980	Location 55	Area 15	Region 4	3	townhouse	601000	Sold	20-05-2017	10.5	Seller 45	48	3	2	2.0	200			-37.7399	145.054
72	6224	Location 99	Area 14	Region 4	4	other	975000	Sold	19-11-2016	13.8	Seller 45	78	4	2	2.0	953			-37.7625	145.1256
73	9251	Location 192	Area 8	Region 4	3	townhouse	1011000	Sold	03-06-2017	14.2	Seller 28	131	3	2	2.0	297	135.0	2001.0	-37.8605	145.12853
74	5921	Location 94	Area 2	Region 2	3	townhouse	600000	NotSold	28-08-2016	9.7	Seller 2	39	4	3	2.0	717			-37.7234	144.9077
75	8148	Location 75	Area 2	Region 2	3	other	935000	Sold	06-05-2017	11.2	Seller 54	2	3	1	2.0	657			-37.7356	144.8859
76	12578	Location 196	Area 20	Region 5	4	other	1630000	Sold	09-09-2017	21.5	Seller 42	130	4	2	2.0	554			-37.99323	145.0744
77	5847	Location 93	Area 3	Region 3	5	other	4400000	Sold	19-11-2016	6.1	Seller 9	76	5	4	4.0	657	312.0	1900.0	-37.8582	144.9913
78	12228	Location 16	Area 20	Region 3	4	other	1216000	Sold	03-09-2017	13.8	Seller 3	15	4	1	2.0	583			-37.93206	145.07929
79	8290	Location 85	Area 4	Region 1	3	other	1010000	Sold	06-05-2017	11.2	Seller 12	71	3	1	2.0	649			-37.7258	145.0113
80	8675	Location 92	Area 5	Region 2	1	duplex	380000	Sold	08-04-2017	7.7	Seller 33	62	1	1	1.0	89	37.0	1980.0	-37.8291	144.8848
81	8252	Location 83	Area 6	Region 3	1	other	860000	NotSold	22-04-2017	4.5	Seller 19	69	1	1	0.0	108	54.0	1905.0	-37.8508	145.0051
82	3025	Location 52	Area 12	Region 3	3	other	1560000	NotSold	04-03-2017	13.7	Seller 42	46	3	1	3.0	593	125.0	1955.0	-37.9399	145.0204
83	8925	Location 83	Area 6	Region 3	2	duplex	1240000	Sold	01-07-2017	4.6	Seller 203	69	2	1	1.0	0			-37.85417	145.00929
84	5607	Location 90	Area 6	Region 3	1	duplex	370000	NotSold	07-05-2016	3.3	Seller 9	74	1	1	1.0	0			-37.8423	144.997
85	3641	Location 62	Area 7	Region 3	4	other	2075000	Sold	18-06-2016	5.6	Seller 7	53	4	2	2.0	764			-37.8046	145.0595
86	12051	Location 61	Area 16	Region 1	2	duplex	445000	NotSold	29-07-2017	3.4	Seller 147	41	2	1	1.0	1775	59.0		-37.79818	144.92685
87	4773	Location 82	Area 3	Region 3	2	duplex	1250000	NotSold	22-05-2016	3.8	Seller 4	68	2	2	2.0	0		2003.0	-37.8435	144.9415
88	8567	Location 5	Area 5	Region 2	5	other	1480000	NotSold	13-05-2017	13.8	Seller 4	5	5	3	4.0	725	201.0	1980.0	-37.8712	144.8107
89	2604	Location 45	Area 1	Region 1	4	other	2300000	Sold	27-11-2016	3.5	Seller 2	31	4	2	1.0	197			-37.7828	144.9832
90	10708	Location 57	Area 8	Region 3	5	other	1475000	Sold	08-07-2017	12.3	Seller 46	49	5	2	3.0	548	157.0	1920.0	-37.90403	145.08118
91	1846	Location 31	Area 9	Region 3	2	other	1262000	Sold	16-04-2016	9.3	Seller 19	28	4	2	2.0	464	272.0	2016.0	-37.8901	145.0224
92	1581	Location 25	Area 7	Region 3	3	other	1430000	Sold	12-11-2016	7.8	Seller 84	24	3	2	2.0	244			-37.8446	145.068
93	577	Location 13	Area 7	Region 3	5	other	2450000	Sold	28-05-2016	9.7	Seller 9	12	4	2	2.0	981	260.0	1960.0	-37.8058	145.0627
94	33	Location 1	Area 1	Region 1	1	duplex	470000	Sold	26-07-2016	2.5	Seller 2	1	1	1	1.0	0	50.0	2013.0	-37.8055	144.9961
95	8135	Location 74	Area 5	Region 2	3	other	1410000	NotSold	20-05-2017	8.4	Seller 36	62	3	2	2.0	315			-37.8496	144.8868
96	5090	Location 85	Area 4	Region 1	2	duplex	432000	Sold	10-09-2016	11.2	Seller 29	71	2	1	1.0	137			-37.7241	145.0114
97	10371	Location 63	Area 7	Region 3	4	other	2258000	Sold	27-05-2017	7.3	Seller 3	54	4	1	2.0	836	173.0	1910.0	-37.79702	145.05352
98	11249	Location 219	Area 19	Region 1	3	other	700000	Sold	12-08-2017	16.5	Seller 12	147	3	2	4.0	673		1980.0	-37.67558	144.8976
99	2697	Location 47	Area 11	Region 2	2	duplex	615000	Sold	16-04-2016	6.4	Seller 31	42	2	1	3.0	207		1960.0	-37.7975	144.8855
100	12169	Location 207	Area 19	Region 2	2	duplex	360000	NotSold	29-07-2017	31.7	Seller 10	141	2	1	1.0	143	112.0	1999.0	-37.57063	144.70693
101	6618	Location 108	Area 15	Region 1	3	other	710000	Sold	19-11-2016	15.0	Seller 27	84	3	1	1.0	616	115.0	1960.0	-37.7306	145.0854
102	4523	Location 78	Area 13	Region 1	3	townhouse	770000	Sold	11-02-2017	11.5	Seller 10	44	3	2	2.0	272	138.0	2012.0	-37.7182	144.9244
103	7487	Location 14	Area 7	Region 3	2	other	1900000	Sold	08-04-2017	9.2	Seller 41	13	2	1	2.0	667	130.0	1955.0	-37.7926	145.0842
104	4543	Location 79	Area 8	Region 5	3	other	981000	Sold	03-12-2016	14.7	Seller 21	65	3	1	2.0	646			-37.9167	145.0855
105	5158	Location 85	Area 4	Region 1	3	duplex	470000	Sold	18-03-2017	11.2	Seller 43	71	3	1	2.0	159	97.0	1970.0	-37.7277	145.0248
106	5655	Location 90	Area 6	Region 3	3	other	2285000	Sold	15-10-2016	3.3	Seller 7	74	3	2	2.0	221	135.0	1890.0	-37.8416	144.9959
107	11997	Location 167	Area 27	Region 1	2	duplex	503000	Sold	29-07-2017	19.6	Seller 29	113	2	2	2.0	214	115.0	2000.0	-37.65151	145.02815
108	719	Location 15	Area 9	Region 3	4	other	1328000	Sold	10-09-2016	13.0	Seller 19	14	3	2	2.0	610	112.0	1940.0	-37.9291	145.0472
109	4414	Location 77	Area 4	Region 1	2	other	790000	NotSold	10-09-2016	5.5	Seller 28	64	2	1	1.0	136	78.0	2000.0	-37.7651	145.0027
110	146	Location 5	Area 5	Region 2	4	other	1780000	NotSold	04-06-2016	13.8	Seller 4	5	4	3	6.0	1057	220.0	1962.0	-37.8681	144.819
111	3954	Location 68	Area 11	Region 2	2	townhouse	400000	NotSold	24-09-2016	8.7	Seller 14	8	2	1	2.0	54	85.0	2000.0	-37.774	144.8797
112	1096	Location 19	Area 12	Region 3	2	other	1550000	NotSold	12-11-2016	11.2	Seller 21	18	2	2	2.0	404			-37.9104	145.002
113	6203	Location 99	Area 14	Region 4	4	other	990000	NotSold	06-08-2016	13.8	Seller 12	78	4	2	2.0	652	189.0	1973.0	-37.7573	145.0994
114	12663	Location 21	Area 20	Region 1	2	other	911000	NotSold	16-09-2017	5.2	Seller 2	20	2	1	1.0	132	77.0	1905.0	-37.7697	144.96866
115	11227	Location 245	Area 14	Region 4	5	other	2330000	Sold	12-08-2017	15.5	Seller 12	165	5	2	2.0	862			-37.75571	145.15521
116	2241	Location 39	Area 9	Region 3	3	other	1750000	NotSold	19-11-2016	8.5	Seller 21	36	3	2	2.0	517	207.0	1900.0	-37.8813	145.0063
117	5563	Location 89	Area 3	Region 3	2	duplex	1360000	Sold	22-05-2016	2.1	Seller 24	73	2	1	2.0	0			-37.8335	144.9611
118	5315	Location 86	Area 1	Region 1	3	other	1346000	Sold	10-12-2016	2.6	Seller 1	72	3	1	0.0	187			-37.8169	144.996
119	9674	Location 78	Area 13	Region 1	2	townhouse	790000	Sold	17-06-2017	11.2	Seller 128	44	2	2	1.0	208	127.0	2010.0	-37.71679	144.90901
120	12765	Location 63	Area 20	Region 3	2	other	1325000	NotSold	16-09-2017	7.3	Seller 3	54	2	1	2.0	422	88.0	1940.0	-37.79938	145.05662
121	11343	Location 166	Area 26	Region 4	4	other	1054000	Sold	15-07-2017	18.0	Seller 12	112	4	3	2.0	791	230.0	1974.0	-37.71296	145.13773
122	3267	Location 55	Area 15	Region 4	2	other	570000	Sold	27-11-2016	10.5	Seller 134	48	2	1	3.0	428			-37.7355	145.0573
123	6297	Location 100	Area 4	Region 1	2	duplex	571750	NotSold	18-06-2016	6.5	Seller 19	79	2	1	1.0	0		2012.0	-37.7588	145.0179
124	4308	Location 75	Area 2	Region 2	3	duplex	600000	NotSold	14-05-2016	11.2	Seller 12	2	3	2	1.0	164			-37.7479	144.8868
125	6748	Location 110	Area 2	Region 2	3	townhouse	1300000	NotSold	25-02-2017	9.1	Seller 12	38	3	3	1.0	593	205.0	2016.0	-37.7584	144.8968
126	5816	Location 93	Area 3	Region 3	1	duplex	335000	NotSold	13-08-2016	6.1	Seller 118	76	1	1	0.0	0		2013.0	-37.8682	144.9782
127	4012	Location 70	Area 3	Region 3	1	duplex	400000	Sold	08-10-2016	4.1	Seller 22	3	1	1	1.0	0			-37.8522	144.9678
128	12646	Location 145	Area 20	Region 3	5	other	3778000	Sold	16-09-2017	17.3	Seller 21	96	5	4	4.0	1254	465.0	1980.0	-37.97775	145.02754
129	4841	Location 83	Area 6	Region 3	2	other	1500000	NotSold	17-09-2016	4.5	Seller 8	69	2	1	2.0	222	108.0	1930.0	-37.8501	144.9995
130	12504	Location 172	Area 20	Region 7	4	other	780000	Sold	09-09-2017	45.9	Seller 47	117	4	3	2.0	20200	189.0	1985.0	-37.49674	144.62618
131	1392	Location 22	Area 13	Region 1	2	duplex	320000	NotSold	03-12-2016	5.9	Seller 2	21	2	1	1.0	0		1980.0	-37.7514	144.9288
132	9754	Location 246	Area 10	Region 4	4	other	1208000	Sold	17-06-2017	17.2	Seller 43	145	4	2	2.0	785			-37.86343	145.18542
133	2513	Location 43	Area 4	Region 1	3	other	1055000	Sold	27-06-2016	5.8	Seller 6	4	3	1	2.0	382	140.0	1950.0	-37.7696	145.0188
134	598	Location 14	Area 7	Region 3	3	other	1450000	NotSold	04-03-2017	9.2	Seller 3	13	3	1	2.0	665	124.0	1950.0	-37.7862	145.0781
135	3350	Location 58	Area 15	Region 4	2	duplex	480000	NotSold	03-09-2016	7.9	Seller 27	50	2	1	1.0	0			-37.77	145.0472
136	9418	Location 14	Area 7	Region 3	4	other	2444000	Sold	17-06-2017	9.7	Seller 45	13	4	2	2.0	1011			-37.79486	145.08728
137	2327	Location 40	Area 3	Region 3	2	duplex	570000	Sold	26-07-2016	7.7	Seller 28	37	2	1	1.0	0	50.0	1940.0	-37.8831	144.9855
138	7574	Location 19	Area 12	Region 3	2	townhouse	1470000	Sold	29-04-2017	11.2	Seller 42	18	2	1	1.0	238			-37.8985	145.0048
139	4066	Location 72	Area 2	Region 2	4	other	1530000	Sold	10-09-2016	6.9	Seller 3	60	3	2	1.0	431	152.0	1906.0	-37.7702	144.9268
140	13221	Location 182	Area 20	Region 5	3	other	770000	Sold	23-09-2017	25.2	Seller 264	123	3	1	4.0	533			-37.98433	145.17041
141	5333	Location 86	Area 1	Region 1	3	other	1420000	Sold	14-05-2016	2.6	Seller 3	72	3	1	0.0	198	119.0	1890.0	-37.8225	145.0007
142	2177	Location 37	Area 14	Region 4	3	other	1391000	Sold	23-04-2016	13.9	Seller 43	34	3	1	1.0	764	175.0	1965.0	-37.7934	145.1207
143	11462	Location 77	Area 4	Region 1	3	other	1800000	NotSold	15-07-2017	5.3	Seller 28	64	3	1	2.0	771		1950.0	-37.76631	145.01699
144	11747	Location 192	Area 8	Region 4	2	duplex	611000	Sold	22-07-2017	14.2	Seller 223	131	2	1	1.0	161	82.0	1970.0	-37.8837	145.11526
145	6812	Location 113	Area 1	Region 1	2	other	1005000	NotSold	03-12-2016	3.5	Seller 1	72	2	1	0.0	0			-37.8301	145.0103
146	11229	Location 99	Area 14	Region 4	5	other	1410000	NotSold	12-08-2017	12.4	Seller 12	78	5	2	2.0	648	250.0	1975.0	-37.77033	145.1214
147	2862	Location 48	Area 7	Region 3	4	other	2000000	NotSold	28-08-2016	9.2	Seller 22	43	3	2	4.0	401			-37.8583	145.0726
148	952	Location 16	Area 9	Region 3	4	townhouse	1120000	NotSold	28-05-2016	13.9	Seller 21	15	3	2	2.0	209			-37.9213	145.0565
149	2641	Location 46	Area 2	Region 1	2	other	845000	Sold	18-03-2017	4.4	Seller 2	41	2	1	1.0	0		1910.0	-37.7838	144.9273
150	1726	Location 28	Area 9	Region 3	2	duplex	625000	Sold	07-11-2016	11.4	Seller 46	27	2	1	1.0	78			-37.8967	145.0627
151	12136	Location 85	Area 4	Region 1	2	townhouse	672000	Sold	29-07-2017	12.0	Seller 19	71	2	1	1.0	243	120.0	2012.0	-37.71045	145.0018
152	12661	Location 19	Area 20	Region 3	3	townhouse	1960000	NotSold	16-09-2017	10.5	Seller 21	18	3	2	2.0	709	36.0	1960.0	-37.91414	145.00527
153	10226	Location 264	Area 18	Region 2	4	other	447000	Sold	27-05-2017	14.8	Seller 56	100	4	2	2.0	704			-37.7613	144.75988
154	8818	Location 173	Area 19	Region 2	3	other	625000	Sold	01-07-2017	12.9	Seller 81	45	3	1	2.0	544			-37.68541	144.88471
155	10141	Location 251	Area 10	Region 4	4	other	1258000	Sold	27-05-2017	13.4	Seller 43	151	4	1	2.0	769			-37.83998	145.15198
156	7056	Location 120	Area 15	Region 4	2	townhouse	690000	NotSold	25-02-2017	10.6	Seller 27	35	2	1	1.0	110	88.0	2010.0	-37.7489	145.07
157	9528	Location 41	Area 2	Region 2	2	duplex	580000	Sold	17-06-2017	7.5	Seller 12	38	2	1	1.0	921	84.0	1970.0	-37.74904	144.90668
158	13257	Location 78	Area 20	Region 1	3	townhouse	763000	Sold	23-09-2017	11.2	Seller 128	44	3	2	2.0	220			-37.71467	144.91997
159	312	Location 8	Area 2	Region 2	3	other	1000000	NotSold	12-11-2016	5.9	Seller 10	8	3	2	2.0	440	120.0	1955.0	-37.7746	144.9031
160	10579	Location 143	Area 21	Region 4	5	other	900000	Sold	08-07-2017	23.2	Seller 142	95	5	2	2.0	942			-37.85721	145.26305
161	2193	Location 37	Area 14	Region 4	4	other	1810000	Sold	28-05-2016	13.9	Seller 3	34	4	2	4.0	769	240.0	1970.0	-37.7781	145.1337
162	12118	Location 81	Area 13	Region 1	2	duplex	541000	Sold	29-07-2017	8.5	Seller 2	67	2	1	1.0	133			-37.72136	144.92932
163	13311	Location 210	Area 20	Region 2	3	other	600000	Sold	23-09-2017	15.5	Seller 10	122	3	2	2.0	657			-37.71176	144.80271
164	1231	Location 20	Area 12	Region 3	5	other	1450000	NotSold	22-05-2016	10.7	Seller 21	19	5	3	2.0	527			-37.9061	145.0238
165	1856	Location 31	Area 9	Region 3	1	duplex	290000	NotSold	27-11-2016	9.3	Seller 44	28	1	1	1.0	0		1970.0	-37.8943	145.0145
166	8410	Location 95	Area 18	Region 2	3	other	950000	Sold	06-05-2017	12.6	Seller 80	77	3	1	1.0	725			-37.7918	144.8419
167	4894	Location 84	Area 4	Region 1	3	other	840000	Sold	06-08-2016	8.8	Seller 12	70	3	1	2.0	647			-37.7331	144.988
168	321	Location 8	Area 2	Region 2	4	other	1640000	Sold	16-04-2016	5.9	Seller 47	8	4	3	2.0	562	204.0	1890.0	-37.782	144.903
169	44	Location 2	Area 2	Region 2	2	duplex	500000	NotSold	04-03-2017	13.5	Seller 12	2	2	1	1.0	168	86.0	2011.0	-37.7215	144.8864
170	7927	Location 52	Area 12	Region 3	2	townhouse	837000	NotSold	13-05-2017	13.7	Seller 21	46	2	2	1.0	516	92.0	2007.0	-37.9365	145.0008
171	5423	Location 86	Area 1	Region 1	3	other	1495000	Sold	27-11-2016	2.6	Seller 1	72	3	2	1.0	159			-37.8195	144.9974
172	4832	Location 83	Area 6	Region 3	2	other	1055000	Sold	10-12-2016	4.5	Seller 1	69	2	1	0.0	203	85.0	1900.0	-37.8557	145.0053
173	8949	Location 206	Area 18	Region 2	3	other	565000	Sold	01-07-2017	14.0	Seller 78	51	3	1	2.0	614	110.0	1975.0	-37.73074	144.78925
174	7092	Location 123	Area 4	Region 1	4	other	610000	Sold	12-11-2016	12.4	Seller 43	93	4	1	1.0	465	120.0	1970.0	-37.7126	145.03
175	3600	Location 62	Area 7	Region 3	4	other	1950000	NotSold	08-10-2016	5.6	Seller 7	53	3	2	2.0	400	251.0	2000.0	-37.8147	145.0438
